Region,Site,NEAR_FID,Dist_To_River_m,Dist_To_River_km
Saint Joe Bay,SJB02,16,12995.79995,12.99579995
Saint Joe Bay,SJB06,16,4984.082689,4.984082689
Saint Joe Bay,SJB07,16,4354.475612,4.354475612
Saint Joe Bay,SJB10,16,12650.04882,12.65004882
Saint Joe Bay,SJB13,16,7514.50637,7.51450637
Saint Joe Bay,SJB14,16,9052.029647,9.052029647
Saint Joe Bay,SJB16,16,8562.193407,8.562193407
Saint Joe Bay,SJB17,16,10360.844,10.360844
Saint Joe Bay,SJB24,16,8557.037996,8.557037996
Saint Joe Bay,SJBA,16,4508.344301,4.508344301
Saint Joe Bay,SJBB,16,5016.229157,5.016229157
Saint Joe Bay,SJBC,16,8671.026981,8.671026981
Saint Marks,SMAR01,18,11061.52512,11.06152512
Saint Marks,SMAR03,18,12281.05718,12.28105718
Saint Marks,SMAR04,19,12631.0396,12.6310396
Saint Marks,SMAR12,19,7601.777489,7.601777489
Saint Marks,SMAR14,19,11136.43689,11.13643689
Saint Marks,SMAR23,19,6102.007985,6.102007985
Saint Marks,SMAR24,19,5995.940179,5.995940179
Saint Marks,SMAR25,19,7948.631111,7.948631111
Saint Marks,SMARA,18,9157.858524,9.157858524
Saint Marks,SMARB,18,11088.13657,11.08813657
Saint Marks,SMARC,19,9768.167555,9.768167555
Steinhatchee,STCH01,17,1341.991133,1.341991133
Steinhatchee,STCH02,17,4537.646696,4.537646696
Steinhatchee,STCH04,17,1288.47468,1.28847468
Steinhatchee,STCH05,17,2723.359217,2.723359217
Steinhatchee,STCH06,17,2759.535641,2.759535641
Steinhatchee,STCH12,17,6411.976863,6.411976863
Steinhatchee,STCH20,17,12024.86171,12.02486171
Steinhatchee,STCH21,17,13300.55758,13.30055758
Steinhatchee,STCHA,17,5728.607036,5.728607036
Steinhatchee,STCHB,17,3667.407546,3.667407546
Steinhatchee,STCHC,17,7273.342284,7.273342284
