Event Number,Date,Region,Site number,Fixed Lat,Fixed Lon,Actual Lat,Actual Lon,Seagrass (y/n),Scuba (y/n),Snorkel (y/n),Core (y/n),Processed (y/n),Site depth (m),Secchi depth (m),start time (24hr),end time (24hr),Mono or Mixed Bed,Meadow Structure,"Cover Level (High, Low, None)",Notes
1,6/14/2019,St Marks,SMAR01,30.06016,-84.17051,30.06,-84.1705,y,n,y,y,N,,,,,,continuous vegetated,high,
2,6/24/2019,Steinhatchee,STCH01,29.675,-83.44167,29.675,-83.4414,Y,N,Y,Y,N,1.25,0.75,10:04:00,12:00:00,mixed,highly fragmented,,Cocacola
3,6/24/2019,Steinhatchee,STCH02,29.675,-83.475,29.6751,-83.475,Y,N,Y,Y,N,1.1,1.1,12:43:00,14:11:00,mono,highly fragmented,,
4,6/24/2019,Steinhatchee,STCH03,29.6675,-83.4669,,,Y,N,N,N,N,2,1.1,14:26:00,14:37:00,mixed,continuous vegetated,,
5,6/24/2019,Steinhatchee,STCH04,29.65833,-83.425,,,Y,N,Y,Y,N,1.2,0.5,,,mono,sparse,low,Low low cover
6,6/25/2019,Steinhatchee,STCH05,29.64167,-83.40833,,,Y,N,Y,Y,N,1.25,0.5,10:10:00,11:48:00,mixed,continuous vegetated,low,Low seagrass cover high algal cover
7,6/25/2019,Steinhatchee,STCH06,29.6414,-83.4146,,,Y,N,Y,Y,N,1.2,0.6,12:00:00,2:37:00,mixed,continuous vegetated,high,
8,7/8/2019,Saint Joe Bay,SJB14,29.76002,-85.31073,29.7598,-85.31075,Y,N,Y,Y,N,1.3,1.3,10:30:00,12:20:00,mono,highly fragmented,high,lost first data sheet . needed to redonquadrats
9,7/8/2019,Saint Joe Bay,SJB13,29.77447,-85.30693,29.7744,-85.30717,Y,N,Y,Y,N,0.8,0.8,12:43:00,,,highly fragmented,high,
10,7/9/2019,Saint Joe Bay,SJB07,29.80502,-85.30295,29.7991,-85.3034,Y,N,Y,Y,N,0.6,0.6,8:00:00,10:30:00,mixed,highly fragmented,high,Need to do one more biomass and core plus 1 quad . Took 3rd quad on 7/10/2019 8am to 8:53
11,7/9/2019,Saint Joe Bay,SJB06,29.79887,-85.30312,29.805,-85.3031,Y,n,Y,Y,N,0.4,0.4,11:00:00,11:50:00,mono,highly fragmented,high,
12,7/10/2019,Saint Joe Bay,SJB17,29.7482,-85.31043,29.7482,-85.3106,Y,N,Y,Y,N,0.8,0.8,9:23:00,10:30:00,mono,continuous vegetated,high,biomass filled the coolers; boat scars prevelant
13,7/10/2019,Saint Joe Bay,SJB10,29.72733,-85.32773,29.7273,-85.3277,Y,N,Y,Y,N,0.6,0.6,11:00:00,12:30:00,mono,continuous vegetated,high,
14,7/11/2019,St Joe Bay,SJBA,,,29.8035,-85.303,N,N,Y,Y,N,0.65,0.65,10:00:00,Ended early because of rain storm,None,highly fragmented,No cover,In an area on patchy seagrass in the none seagrass part
15,7/11/2019,St Joe Bay,SJBB,,,29.7986,-85.303,N,N,Y,Y,N,0.5,0.5,11:15:00,Ended early because of rain storm,None,highly fragmented,No cover,In an area on patchy seagrass in the none seagrass part
15,7/25/2019,St Joe Bay,SJB02,29.73875,-85.38572,29.68101,-85.36268,Y,N,Y,Y,N,0.6,0.6,10:24:00,11:51:00,Mono,Lightly fragmented,high,Boat scar; bag labeled Q2 has inside bags as Q3 and bag Q3 has inside Q2 - go by the outside label!
16,7/25/2019,St Joe Bay,SJB24,29.82092,-85.40592,29.73877,-85.38572,Y,N,Y,Y,N,0.8,0.8,12:15:00,15:00:00,Mono,Lightly fragmented,high,
17,7/30/2019,Steinhatchee,STCH12,29.60833,-83.40833,29.60832,-83.40826,Y,N,Y,Y,N,1.3,1.3,10:19:00,12:00:00,Mixed,Lightly fragmented,low,Bags are marked as stch13
18,7/30/2019,Steinhatchee,STCH09,29.63453,-83.42518,,,Y,N,N,N,N,1.7,1.3,12:22:00,,,,,Did not do because it was too deep on this tide
19,7/30/2019,Steinhatchee,STCH13,29.60046,-83.41712,,,Y,N,N,N,N,1.7,1.7,9:45:00,,,,,Did not do because it was too deep on this tide
20,7/30/2019,Steinhatchee,STCHA,,,29.61464,-83.40597,N,N,Y,Y,N,1.4,1.4,12:47:00,13:50:00,None,Highly fragmented,low,In an area on patchy seagrass in the none seagrass part. Only algae low sg
21,7/30/2019,Steinhatchee,STCHB,,,29.63317,-83.40769,N,N,Y,Y,N,0.9,0.9,14:16:00,15:30:00,None,Bare,No cover,Sargassum field no samples . Bedroc covered in sediment . Delete first waypoint . Use second waypoint
22,8/8/2019,Steinhatchee,STCH21,29.5462,-83.4152,29.5468,-83.4148,Y,N,Y,Y,N,1.1,1.1,10:39:00,12:00:00,Mono,Continuous,high,
23,8/8/2019,Steinhatchee,STCH20,29.55833,-83.425,,,Y,N,Y,Y,N,1.2,1.2,12:58:00,14:45:00,Mono,Continuous,high,Bags say Stch09. Outer bag relabeled to stch20. See notes for core info
25,8/8/2019,Steinhatchee,STCHC,,,29.6012,-83.42204,N,N,Y,Y,N,1.25,1.25,3:29:00,4:20:00,None,Bare,No cover,Bare patch in between sg. This is the second c site. It’s marked as actual stchc. Erase other record in gps.
26,8/13/2019,St Marks,SMAR03,,,30.0643,-84.1365,Y,N,Y,Y,N,1.5,1.5,9:20,11:00,Mono,Continuous,High,umlS
27,8/13/2019,St Marks,SMAR04,,,30.0651,-84.1198,Y,N,Y,Y,N,1.55,1.55,10:58,12:00,mono,continuous,high,Bags say SMAR15 . Outter bags are relabeled to SMAR04
28,8/14/2019,St Marks,SMAR14,,,30.0747,-84.1056,Y,N,Y,Y,N,0.9,0.9,9:45,11:00,Mono,continuous,high,
29,8/14/2019,St Marks,SMAR25,,,30.0704,-84.0716,Y,N,Y,Y,N,1.6,1.6,11:18,12:30,mixed,continuous,"High cover, low seagrass",High algae cover
30,8/14/2019,St Marks,SMAR12,,,30.0785,-84.0692,y,N,Y,Y,N,1.5,1.5,12:51,2:17,mono,contnuous,high,
31,8/16/2019,St Marks,SMARA,,,30.0712,-84.19833,N,N,Y,Y,N,1.5,1.25,9:00,9:39,bare,bare,None,Never was sg. Sediment was hyper compressible. Might want to count the number of bags to see if there was any compression due to extrusion.
32,8/16/2019,St Marks,SMARB,,,30.0584,-84.17513,N,N,Y,Y,N,1.6,1.6,10:49,11:41,bare,Highly fragmented,Low,Bare patch within an algae bed. Brown algal mat. Sparse
33,8/20/2019,St Marks,SMAR10,,,30.07518,-84.02169,,N,N,N,N,2,0.5,9:33,9:35,,,,Too deep to sample
34,8/20/2019,St Marks,SMAR23,,,30.07869,-84.05362,Y,N,Y,Y,N,1.1,1.1,9:55,11:25,Mono,Continuous,Hugh,forgot to take waypoint. use snail trail to find site
35,8/20/2019,St Marks,SMAR24,,,30.0701,-84.0508,Y,N,Y,Y,N,1.25,1.25,11:42,12:48,mixed,continuous,"low sg , high overall cover because of algae",
36,8/20/2019,St Marks,SMARC,,,30.0697,-84.0906,Y,N,Y,Y,N,2.25,1.25,1:09,2:11,none,none,none,sand patch .
37,8/30/2019,St Joe Bay,SJB16,29.821,-85.406,,,Y,N,Y,Y,N,1.4,1.4,10:39,12:17,mono,blemished,mid,Inner bags labeled 12; difficult to hammer
38,8/30/2019,St Joe Bay,SJBC,29.8256,-85.4084,,,N,N,Y,Y,N,1.05,1.05,12:59,2:12,none,none,none,"sandy; difficult to hamer; For Q1, the surficial slices accidentally everted on the floor. Need to tak a volume for Slice 14. But most likely 4cm"
