Marine Recreational Information Program Query Results,,,,,
,,,,,
Your Query Parameters:,,,,,
,,,,,
Query: MRIP CATCH SNAPSHOT,,,,,
,,,,,
Year: 2017 - 2017,,,,,
,,,,,
Wave: ANNUAL,,,,,
,,,,,
Geographic Area: WEST FLORIDA,,,,,
,,,,,
Fishing Mode: ALL MODES COMBINED,,,,,
,,,,,
Fishing Area: STATE WATERS,,,,,
,,,,,
Type of Catch: TOTAL CATCH (TYPE A + B1 + B2),,,,,
,,,,,
Information:,,,,,
,,,,,
NUMBERS OF FISH,,,,,
,,,,,
PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a,,,,,
,,,,,
measure of precision.,,,,,
,,,,,
Estimate Status,Year,Species Group,Sub Group,Total Catch (A+B1+B2),PSE
FINAL,2017,HERRINGS,HERRINGS,76901310,13.8
FINAL,2017,DRUMS,SPOTTED SEATROUT,28068138,9.2
FINAL,2017,PORGIES,PINFISHES,24356324,11.3
FINAL,2017,OTHER FISHES,OTHER FISHES,20789120,8.6
FINAL,2017,JACKS,BLUE RUNNER,16101870,51
FINAL,2017,SNAPPERS,GRAY SNAPPER,15965325,10.9
FINAL,2017,CATFISHES,SALTWATER CATFISHES,12525754,10.2
FINAL,2017,TUNAS AND MACKERELS,SPANISH MACKEREL,10274852,23.4
FINAL,2017,PORGIES,SHEEPSHEAD,6132888,18.2
FINAL,2017,JACKS,CREVALLE JACK,5637165,21.3
FINAL,2017,MULLETS,MULLETS,5414241,18.4
FINAL,2017,DRUMS,RED DRUM,5211912,13.8
FINAL,2017,SEA BASSES,BLACK SEA BASS,4849738,23.4
FINAL,2017,DRUMS,KINGFISHES,4540227,34.8
FINAL,2017,GRUNTS,WHITE GRUNT,4363779,13.2
FINAL,2017,GRUNTS,OTHER GRUNTS,3337966,16.2
FINAL,2017,SNAPPERS,RED SNAPPER,3231993,20
FINAL,2017,JACKS,OTHER JACKS,2538896,39.7
FINAL,2017,SEA BASSES,MYCTEROPERCA GROUPERS,2518189,17.4
FINAL,2017,DRUMS,SAND SEATROUT,2513297,44.5
FINAL,2017,JACKS,FLORIDA POMPANO,2270208,43.2
FINAL,2017,PUFFERS,PUFFERS,1883377,13.4
FINAL,2017,CARTILAGINOUS FISHES,OTHER SHARKS,1718328,11.7
FINAL,2017,SEA BASSES,OTHER SEA BASSES,1646066,19.7
FINAL,2017,SNAPPERS,OTHER SNAPPERS,1597641,19.2
FINAL,2017,DRUMS,OTHER DRUM,1535922,35.1
FINAL,2017,SNAPPERS,YELLOWTAIL SNAPPER,1338696,32.6
FINAL,2017,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,1305128,24.5
FINAL,2017,DRUMS,ATLANTIC CROAKER,1264196,26.2
FINAL,2017,SNAPPERS,LANE SNAPPER,1118642,19.3
FINAL,2017,CARTILAGINOUS FISHES,SKATES/RAYS,957508,13.9
FINAL,2017,GRUNTS,PIGFISH,789384,29.3
FINAL,2017,BLUEFISH,BLUEFISH,737077,20
FINAL,2017,DRUMS,SILVER PERCH,701912,40.5
FINAL,2017,SEA BASSES,EPINEPHELUS GROUPERS,645751,21.9
FINAL,2017,FLOUNDERS,OTHER FLOUNDERS,601547,25.8
FINAL,2017,DRUMS,BLACK DRUM,593683,22.2
FINAL,2017,SNAPPERS,VERMILION SNAPPER,531248,24.1
FINAL,2017,TUNAS AND MACKERELS,KING MACKEREL,445940,32.3
FINAL,2017,FLOUNDERS,GULF FLOUNDER,360530,33.4
FINAL,2017,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,336157,28.7
FINAL,2017,PORGIES,OTHER PORGIES,309690,18.3
FINAL,2017,TOADFISHES,TOADFISHES,207378,21.8
FINAL,2017,BARRACUDAS,BARRACUDAS,154076,22.2
FINAL,2017,PORGIES,RED PORGY,147911,40.8
FINAL,2017,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,118760,51.4
FINAL,2017,CARTILAGINOUS FISHES,OTHER FISHES,96676,50.2
FINAL,2017,SEAROBINS,SEAROBINS,74031,31.4
FINAL,2017,DOLPHINS,DOLPHINS,71201,58.1
FINAL,2017,DRUMS,SPOT,64936,81.8
FINAL,2017,WRASSES,OTHER WRASSES,58116,28.3
FINAL,2017,JACKS,GREATER AMBERJACK,55286,36.6
FINAL,2017,EELS,EELS,39357,69.2
FINAL,2017,FLOUNDERS,SOUTHERN FLOUNDER,29864,68.6
FINAL,2017,CATFISHES,FRESHWATER CATFISHES,10083,80
FINAL,2017,TEMPERATE BASSES,STRIPED BASS,2788,61.6
FINAL,2017,CARTILAGINOUS FISHES,DOGFISH SHARKS,1029,83.3
